check_in_date,property_id,property_name,category,city,room_class,no_guests,booking_platform,booking_status,ratings_given,revenue_generated,revenue_realized,Profitability_Index,successful_bookings,capacity,mmm yy,week no,day_type,length_of_stay,advance_booking
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,3,direct online,Checked Out,1.0,10010,10010,1.0,18,19,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,others,Cancelled,5.0,9100,3640,0.4,18,19,May 22,W 19,weekend,1,1
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,logtrip,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,3,3
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,others,Cancelled,5.0,9100,3640,0.4,18,19,May 22,W 19,weekend,1,3
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,4,direct online,Checked Out,5.0,10920,10920,1.0,18,19,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,others,Checked Out,4.0,9100,9100,1.0,18,19,May 22,W 19,weekend,2,0
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,others,Cancelled,5.0,9100,3640,0.4,18,19,May 22,W 19,weekend,5,3
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,logtrip,No Show,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,2,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,tripster,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,1,1
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,1,others,Checked Out,4.0,9100,9100,1.0,18,19,May 22,W 19,weekend,1,3
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,1,makeyourtrip,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,6,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,logtrip,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,1,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,makeyourtrip,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,6,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,1,logtrip,Cancelled,5.0,9100,3640,0.4,18,19,May 22,W 19,weekend,4,1
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,others,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,1,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,4,journey,Checked Out,5.0,10920,10920,1.0,18,19,May 22,W 19,weekend,2,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,3,direct offline,Checked Out,5.0,10010,10010,1.0,18,19,May 22,W 19,weekend,1,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Standard,2,others,Checked Out,5.0,9100,9100,1.0,18,19,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,others,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,5,24
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,others,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,2,1
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,1,makeyourtrip,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,6,21
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,3,others,Cancelled,5.0,13860,5544,0.4,21,22,May 22,W 19,weekend,2,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,1,direct offline,Cancelled,5.0,12600,5040,0.4,21,22,May 22,W 19,weekend,1,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,direct offline,Checked Out,4.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,3,direct offline,Cancelled,5.0,13860,5544,0.4,21,22,May 22,W 19,weekend,6,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,others,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,0
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,logtrip,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,6
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,others,Checked Out,4.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,makeyourtrip,Cancelled,5.0,12600,5040,0.4,21,22,May 22,W 19,weekend,6,1
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,others,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,logtrip,Checked Out,4.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,4,others,Checked Out,4.0,15120,15120,1.0,21,22,May 22,W 19,weekend,2,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,direct offline,No Show,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,3,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,1,others,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,2,3
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,4,makeyourtrip,Cancelled,5.0,15120,6048,0.4,21,22,May 22,W 19,weekend,6,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,1,logtrip,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,1,7
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,3,others,Checked Out,5.0,13860,13860,1.0,21,22,May 22,W 19,weekend,1,21
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,tripster,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,3,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Elite,2,direct online,Checked Out,5.0,12600,12600,1.0,21,22,May 22,W 19,weekend,2,6
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,3,others,Checked Out,3.0,18480,18480,1.0,8,8,May 22,W 19,weekend,2,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,4,makeyourtrip,Checked Out,5.0,20160,20160,1.0,8,8,May 22,W 19,weekend,5,7
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,2,makeyourtrip,Checked Out,5.0,16800,16800,1.0,8,8,May 22,W 19,weekend,6,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,1,others,Checked Out,5.0,16800,16800,1.0,8,8,May 22,W 19,weekend,1,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,3,others,Checked Out,5.0,18480,18480,1.0,8,8,May 22,W 19,weekend,3,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,2,others,Checked Out,5.0,16800,16800,1.0,8,8,May 22,W 19,weekend,2,2
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,1,logtrip,Checked Out,5.0,16800,16800,1.0,8,8,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Premium,1,makeyourtrip,Checked Out,5.0,16800,16800,1.0,8,8,May 22,W 19,weekend,2,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Presidential,2,logtrip,Cancelled,5.0,26600,10640,0.4,3,3,May 22,W 19,weekend,2,5
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Presidential,1,tripster,Checked Out,5.0,26600,26600,1.0,3,3,May 22,W 19,weekend,1,4
2022-05-01,16558,Atliq Grands,Luxury,Delhi,Presidential,2,direct offline,Cancelled,5.0,26600,10640,0.4,3,3,May 22,W 19,weekend,3,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,journey,Checked Out,3.0,11050,11050,1.0,25,30,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,makeyourtrip,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,5,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,1,tripster,Cancelled,5.0,11050,4420,0.4,25,30,May 22,W 19,weekend,1,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,3,direct offline,Checked Out,5.0,12155,12155,1.0,25,30,May 22,W 19,weekend,2,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,3,others,Checked Out,5.0,12155,12155,1.0,25,30,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,tripster,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,1,20
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,others,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,1,1
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,1,direct online,Cancelled,5.0,11050,4420,0.4,25,30,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,1,others,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,others,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,5,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,makeyourtrip,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,1,3
